HDF,datetime,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW,BIOMASS,INTEM
FUELHH,2022-06-01 00:00:00,16925,0,0,5139,1445,0,257,2,155,8,178,0,0,1718,0
FUELHH,2022-06-01 00:30:00,16539,0,0,5140,1432,0,234,3,149,0,200,0,0,1701,0
FUELHH,2022-06-01 01:00:00,17381,0,0,5142,1566,0,201,0,124,0,170,0,0,1698,0
FUELHH,2022-06-01 01:30:00,17415,0,0,5137,1491,0,197,0,139,0,168,0,0,1720,0
FUELHH,2022-06-01 02:00:00,17457,0,0,5137,1337,0,196,0,152,0,188,0,0,1734,0
FUELHH,2022-06-01 02:30:00,17397,0,0,5139,1210,0,198,0,138,0,148,0,0,1720,0
FUELHH,2022-06-01 03:00:00,17420,0,0,5140,1196,0,199,0,118,0,126,0,0,1714,0
FUELHH,2022-06-01 03:30:00,17238,0,0,5145,1105,0,195,2,118,0,196,0,0,1716,0
FUELHH,2022-06-01 04:00:00,17485,0,0,5143,1072,0,194,2,120,0,156,0,0,1712,0
FUELHH,2022-06-01 04:30:00,17177,0,0,5147,1135,0,194,2,111,0,120,0,0,1706,0
FUELHH,2022-06-01 05:00:00,16926,0,0,5143,1152,0,192,3,107,0,174,0,0,1716,0
FUELHH,2022-06-01 05:30:00,17658,0,0,5148,1150,0,198,3,103,0,68,0,0,1716,0
FUELHH,2022-06-01 06:00:00,18181,0,0,5144,1226,142,295,2,209,0,118,0,0,1815,0
FUELHH,2022-06-01 06:30:00,18816,0,0,5144,1073,20,323,2,457,0,162,0,40,2346,0
FUELHH,2022-06-01 07:00:00,18120,0,0,5140,1047,32,427,2,454,0,30,0,0,2836,0
FUELHH,2022-06-01 07:30:00,18540,0,0,5142,981,252,426,3,555,0,0,0,0,2937,0
FUELHH,2022-06-01 08:00:00,18333,0,0,5144,952,2,489,1,454,0,0,136,0,2946,166
FUELHH,2022-06-01 08:30:00,18448,0,0,5142,924,0,551,0,488,0,0,140,0,2947,180
FUELHH,2022-06-01 09:00:00,18630,0,0,5145,857,12,528,1,485,0,0,732,0,2945,0
FUELHH,2022-06-01 09:30:00,18610,0,0,5145,845,0,520,0,350,0,0,710,0,2945,0
FUELHH,2022-06-01 10:00:00,18987,0,0,5142,754,174,471,0,327,0,0,300,0,2944,142
FUELHH,2022-06-01 10:30:00,19026,0,0,5140,746,366,449,0,158,0,0,300,0,2943,152
FUELHH,2022-06-01 11:00:00,18940,0,0,5147,681,424,438,0,122,0,0,458,0,2945,80
FUELHH,2022-06-01 11:30:00,18971,0,0,5143,685,290,439,0,149,0,0,464,0,2942,80
FUELHH,2022-06-01 12:00:00,18929,0,0,5115,680,104,330,0,143,0,0,756,0,2937,456
FUELHH,2022-06-01 12:30:00,18971,0,0,5109,583,10,282,1,131,0,0,760,0,2940,464
FUELHH,2022-06-01 13:00:00,18965,0,0,5107,536,98,225,1,109,0,0,676,0,2840,84
